source,target,value
.,./cards,false
.,mailto:essentials@xebia.com,true
.,http://www.xebia.com/,true
./cards,./alone-time,false
./cards,./apis-are-forever,false
./cards,./assertions,false
./cards,./automate-everything,false
./cards,./boy-scout-rule,false
./cards,./brutal-transparency,false
./cards,./build-it-run-it,false
./cards,./clean-build,false
./cards,./clean-logs,false
./cards,./code-review,false
./cards,./comment-with-care,false
./cards,./composition-over-inheritance,false
./cards,./context-over-habit,false
./cards,./curiosity,false
./cards,./dare-to-say-no,false
./cards,./diagnose-before-cure,false
./cards,./done,false
./cards,./done-is-live,false
./cards,./do-the-right-thing,false
./cards,./dry-principle,false
./cards,./eliminate-waste,false
./cards,./fail-fast,false
./cards,./fallacies-distributed-computing,false
./cards,./focused-interfaces,false
./cards,./focus-on-flow,false
./cards,./genchi-genbutsu,false
./cards,./hands-off-machine,false
./cards,./have-fun,false
./cards,./heisenbergs-principle,false
./cards,./honor-the-timebox,false
./cards,./hurt-often,false
./cards,./improve-continuously,false
./cards,./integrate-early,false
./cards,./kiss,false
./cards,./learn-a-new-language,false
./cards,./make-it-visible,false
./cards,./make-it-work-right-fast,false
./cards,./master-your-tools,false
./cards,./maximize-cohesion-minimize-coupling,false
./cards,./no-anemic-domain-model,false
./cards,./no-blame-no-mercy,false
./cards,./no-broken-builds,false
./cards,./no-broken-windows,false
./cards,./no-multitasking,false
./cards,./no-museum,false
./cards,./non-functionals,false
./cards,./no-test-no-bugfix,false
./cards,./one-change-at-a-time,false
./cards,./one-feature-at-a-time,false
./cards,./pair-programming,false
./cards,./poutsma-principle,false
./cards,./readable-code,false
./cards,./rich-communication,false
./cards,./secure-development,false
./cards,./separation-of-concerns,false
./cards,./shared-design-understanding,false
./cards,./small-increments,false
./cards,./team-member-equality,false
./cards,./team-rhythm,false
./cards,./test-code-one,false
./cards,./test-everything,false
./cards,./the-zone,false
./cards,./thirty-minute-methods,false
./cards,./thread-safe,false
./cards,./three-strikes,false
./cards,./timebox,false
./cards,./time-for-tech-debt,false
./cards,./two-minute-rule,false
./cards,./index.html,false
./cards,mailto:essentials@xebia.com,true
./cards,http://www.xebia.com/,true
./alone-time,./pair-programming,false
./alone-time,./the-zone,false
./alone-time,./no-multitasking,false
./alone-time,./index.html,false
./alone-time,mailto:essentials@xebia.com,true
./alone-time,http://www.xebia.com/,true
./automate-everything,,true
./automate-everything,,true
./automate-everything,,true
./automate-everything,,true
./automate-everything,./index.html,false
./automate-everything,mailto:essentials@xebia.com,true
./automate-everything,http://www.xebia.com/,true
./assertions,http://docs.guava-libraries.googlecode.com/git-history/release/javadoc/com/google/common/base/Preconditions.html,true
./assertions,http://www.artima.com/intv/defense.html,true
./assertions,./index.html,false
./assertions,mailto:essentials@xebia.com,true
./assertions,http://www.xebia.com/,true
./apis-are-forever,http://www.infoq.com/articles/API-Design-Joshua-Bloch,true
./apis-are-forever,http://www.infoq.com/presentations/effective-api-design,true
./apis-are-forever,./code-review,false
./apis-are-forever,./comment-with-care,false
./apis-are-forever,./index.html,false
./apis-are-forever,mailto:essentials@xebia.com,true
./apis-are-forever,http://www.xebia.com/,true
./boy-scout-rule,./one-change-at-a-time,false
./boy-scout-rule,./index.html,false
./boy-scout-rule,mailto:essentials@xebia.com,true
./boy-scout-rule,http://www.xebia.com/,true
./brutal-transparency,./index.html,false
./brutal-transparency,mailto:essentials@xebia.com,true
./brutal-transparency,http://www.xebia.com/,true
./build-it-run-it,,true
./build-it-run-it,,true
./build-it-run-it,,true
./build-it-run-it,,true
./build-it-run-it,./index.html,false
./build-it-run-it,mailto:essentials@xebia.com,true
./build-it-run-it,http://www.xebia.com/,true
./code-review,,true
./code-review,./pair-programming,false
./code-review,,true
./code-review,,true
./code-review,,true
./code-review,,true
./code-review,,true
./code-review,./pair-programming,false
./code-review,./index.html,false
./code-review,mailto:essentials@xebia.com,true
./code-review,http://www.xebia.com/,true
./comment-with-care,http://en.wikipedia.org/wiki/Comment_%28computer_programming%29,true
./comment-with-care,http://digitaloffense.net/tools/debian-openssl/,true
./comment-with-care,http://www.javaworld.com/javaworld/jw-10-2007/jw-10-jsr275.html,true
./comment-with-care,./index.html,false
./comment-with-care,mailto:essentials@xebia.com,true
./comment-with-care,http://www.xebia.com/,true
./clean-logs,./index.html,false
./clean-logs,mailto:essentials@xebia.com,true
./clean-logs,http://www.xebia.com/,true
./composition-over-inheritance,,true
./composition-over-inheritance,,true
./composition-over-inheritance,,true
./composition-over-inheritance,,true
./composition-over-inheritance,,true
./composition-over-inheritance,,true
./composition-over-inheritance,,true
./composition-over-inheritance,http://www.cs.sjsu.edu/~pearce/cs251b/principles/crp.htm,true
./composition-over-inheritance,./index.html,false
./composition-over-inheritance,mailto:essentials@xebia.com,true
./composition-over-inheritance,http://www.xebia.com/,true
./clean-build,,true
./clean-build,,true
./clean-build,,true
./clean-build,,true
./clean-build,,true
./clean-build,,true
./clean-build,,true
./clean-build,./index.html,false
./clean-build,mailto:essentials@xebia.com,true
./clean-build,http://www.xebia.com/,true
./dare-to-say-no,,true
./dare-to-say-no,,true
./dare-to-say-no,,true
./dare-to-say-no,,true
./dare-to-say-no,./clean-build,false
./dare-to-say-no,./dry-principle,false
./dare-to-say-no,./code-review,false
./dare-to-say-no,./boy-scout-rule,false
./dare-to-say-no,./test-everything,false
